언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
중번체,景福宮 (경복궁),역사관광지,37.5798,126.9768
중번체,南山首爾塔 (남산서울타워),건축/조형물,37.5511,126.9882
중번체,北村韓屋村 (북촌한옥마을),역사관광지,37.5831,126.9837
중번체,昌德宮與後苑 [UNESCO世界文化遺產] (창덕궁과 후원 [유네스코 세계문화유산]),역사관광지,37.5794,126.9919
중번체,東大門設計廣場(DDP) (동대문디자인플라자(DDP)),산업관광지,37.5669,127.0094
중번체,盤浦大橋月光彩虹噴泉 (반포대교 달빛무지개분수),건축/조형물,37.515,126.9947
중번체,德壽宮 (덕수궁),역사관광지,37.5663,126.9751
중번체,樂天世界 (롯데월드),휴양관광지,37.5111,127.0982
중번체,明洞 (명동),산업관광지,37.5609,126.9861
중번체,教保文庫 ((주) 교보문고),문화시설,37.5718,126.9778
중번체,光化門 (광화문),역사관광지,37.576,126.9768
중번체,樂天世界塔&樂天世界購物城 (롯데월드타워&롯데월드몰),건축/조형물,37.5125,127.1026
중번체,光化門廣場 (광화문광장),휴양관광지,37.573,126.9766
중번체,國立現代美術館(首爾館) (국립현대미술관(서울관)),문화시설,37.5791,126.9806
중번체,弘大 (홍대),산업관광지,37.5553,126.9238
중번체,樂天世界塔SEOUL SKY (롯데월드타워 서울스카이),건축/조형물,37.5125,127.1026
중번체,奧林匹克公園 (올림픽공원),휴양관광지,37.5207,127.1227
중번체,COEX水族館 (코엑스 아쿠아리움),자연관광지,37.5118,127.0594
중번체,南山谷韓屋村 (남산골한옥마을),역사관광지,37.5592,126.9938
중번체,戰爭紀念館 (전쟁기념관),문화시설,37.53716,126.97712
중번체,三清洞街 (삼청동길),체험관광지,37.5834,126.9825
중번체,南山公園(首爾) (남산공원(서울)),휴양관광지,37.5552,126.9822
중번체,Starfield圖書館 (별마당도서관),문화시설,37.5099,127.059
중번체,德壽宮石牆路 (덕수궁 돌담길),체험관광지,37.5651,126.9744
중번체,首爾宣陵與靖陵 [UNESCO世界文化遺產] (서울 선릉과 정릉 [유네스코 세계문화유산]),역사관광지,37.5097,127.0465
중번체,仁寺洞 (인사동),산업관광지,37.5728,126.9845
중번체,昌慶宮 (창경궁),역사관광지,37.5789,126.9953
중번체,曹溪寺(首爾) (조계사(首爾)),역사관광지,37.5739,126.9836
중번체,東大門歷史文化公園 (동대문역사문화공원),휴양관광지,37.5658,127.0093
중번체,新沙洞林蔭道 (신사동 가로수길),체험관광지,37.521,127.0227
중번체,首爾林 (서울숲),자연관광지,37.5436,127.0447
중번체,世宗大王銅像 (세종대왕 동상),건축/조형물,37.5727,126.9769
중번체,汝矣島漢江公園 (여의도한강공원),휴양관광지,37.5277,126.9351
중번체,忠武公李舜臣銅像 (충무공 이순신 동상),건축/조형물,37.5712,126.9767
중번체,國立中央博物館 (국립중앙박물관),문화시설,37.524,126.9799
중번체,首爾路7017 (서울로 7017),휴양관광지,37.5562,126.9705
중번체,新堂洞辣炒年糕街 (신당동 떡볶이 골목),체험관광지,37.5638,127.0157
중번체,樂天世界水族館 (롯데월드 아쿠아리움),휴양관광지,37.5132,127.1002
중번체,德壽宮大漢門 (덕수궁 대한문),역사관광지,37.5658,126.9751
중번체,北村八景 (북촌 8경),역사관광지,37.5828,126.9837
중번체,明洞聖堂 (서울 명동성당),역사관광지,37.5635,126.9871
중번체,東大門(興仁之門) (흥인지문),역사관광지,37.5712,127.0095
중번체,天堂賭場華克山莊 (파라다이스 카지노 워커힐),육상 레포츠,37.555,127.1121
중번체,駱山公園 (낙산공원),휴양관광지,37.5807,127.0073
중번체,奉恩寺(首爾) (봉은사(서울)),역사관광지,37.5145,127.058
중번체,東大門文具玩具街 (동대문 문구완구거리),체험관광지,37.569,127.0125
중번체,慶熙宮 (경희궁),역사관광지,37.5714,126.9681
중번체,宗廟 [UNESCO世界文化遺產] (종묘 [유네스코 세계문화유산]),역사관광지,37.5747,126.9938
중번체,國技院(世界跆拳道本部) (국기원(세계태권도본부)),문화시설,37.502,127.0298
중번체,三星美術館Leeum (삼성미술관 리움),문화시설,37.5381,126.9996
중번체,西大門刑務所歷史館 (서대문형무소역사관),문화시설,37.5746,126.956
중번체,汝矣島公園 (여의도공원),휴양관광지,37.5255,126.9248
중번체,首爾雲峴宮 (서울 운현궁),역사관광지,37.5768,126.9877
중번체,韓國綜合貿易中心COEX (한국종합무역센터(코엑스)),문화시설,37.5119,127.0592
중번체,韓國歷史博物館 (대한민국역사박물관),문화시설,37.5738,126.9769
중번체,青瓦臺 (청와대),건축/조형물,37.5869,126.9748
중번체,藝術殿堂 (예술의전당),문화시설,37.4787,127.0118
중번체,狎鷗亭羅德奧街 (압구정 로데오거리),체험관광지,37.5273,127.0403
중번체,普信閣 (보신각 터),역사관광지,37.5699,126.9854
중번체,北漢山國立公園(首爾) (북한산국립공원(서울)),자연관광지,37.6593,126.9774
중번체,Blue Square (블루스퀘어),문화시설,37.5367,127.0003
중번체,忠武藝術中心 (충무아트센터),문화시설,37.5647,127.0153
중번체,峨嵯山 (아차산),자연관광지,37.5583,127.1018
중번체,昌德宮仁政門 (창덕궁 인정문),역사관광지,37.5781,126.9922
중번체,盤浦漢江公園 (반포한강공원),휴양관광지,37.5108,126.9959
중번체,Geek Livehouse (긱 라이브하우스),문화시설,37.5262,127.0366
중번체,年糕博物館 (떡박물관),문화시설,37.5768,126.9882
중번체,七樂娛樂場(江南COEX店) (세븐럭카지노(강남코엑스점)),육상 레포츠,37.5124,127.0581
중번체,KT&G想像庭院(弘大) (KT&G 상상마당(홍대)),문화시설,37.551,126.9221
중번체,塔谷公園 (탑골공원),휴양관광지,37.5714,126.9887
중번체,首爾弘大Love博物館 (서울 홍대 러브뮤지엄),문화시설,37.5539,126.9227
중번체,Charlotte劇場 (샤롯데씨어터),문화시설,37.5106,127.1021
중번체,首爾歷史博物館 (서울역사박물관),문화시설,37.5705,126.9701
중번체,愛來魔相4D藝術館(仁寺洞總館) (박물관은 살아있다(인사동점)),문화시설,37.5727,126.9852
중번체,澗松美術館(首爾葆華閣) (간송미술관(서울 보화각)),문화시설,37.5982,127.0033
중번체,長安門 (장안문),음식점,37.2882,127.013
중번체,安重根義士紀念館 (안중근의사기념관),문화시설,37.556,126.9785
중번체,Alternative space Loop (대안공간 루프),문화시설,37.552,126.9242
중번체,漢陽都城博物館 (한양도성박물관),문화시설,37.5711,127.009
중번체,Yoon's Color 四季之屋 (윤스칼라),문화시설,37.5532,126.9208
중번체,梨泰院觀光特區 (이태원 관광특구),휴양관광지,37.5345,126.9945
중번체,清潭洞時尚街 (청담패션거리),체험관광지,37.5249,127.0423
중번체,國立韓古爾博物館 (국립한글박물관),문화시설,37.5233,126.9804
중번체,大林美術館 (대림미술관),문화시설,37.5793,126.9742
중번체,昌慶宮弘化門 (창경궁 홍화문),역사관광지,37.578,126.9946
중번체,三島(some sevit) (세빛섬),자연관광지,37.5126,126.9953
중번체,公仔博物館W (피규어뮤지엄W),문화시설,37.526,127.0392
중번체,西村 (서촌마을),체험관광지,37.5797,126.9701
중번체,青瓦臺舍廊房 (청와대사랑채),문화시설,37.5823,126.972
중번체,文化站首爾284 (문화역서울 284),산업관광지,37.5559,126.9719
