언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
중번체,獎忠洞豬腳街 (장충동 족발 골목),체험관광지,37.5601,127.0049
중번체,SK電信新ICT體驗館T.um (SK텔레콤 New ICT체험관 T.um),산업관광지,37.5663,126.984
중번체,首爾廣場 (서울광장),휴양관광지,37.5663,126.9778
중번체,首爾藥峴聖堂 (서울 약현성당),역사관광지,37.5583,126.9675
중번체,首爾兒童大公園 (서울어린이대공원),휴양관광지,37.5492,127.0815
중번체,智勇迷宮(首爾仁寺洞店) (다이나믹 메이즈(서울 인사동점)),자연관광지,37.5727,126.9852
중번체,冠岳山 (관악산),자연관광지,37.4452,126.9638
중번체,東琳繩結工房 (동림매듭공방),문화시설,37.5815,126.985
중번체,京義線書街 (경의선책거리),체험관광지,37.5544,126.9254
중번체,北岳山 (북악산),자연관광지,37.593,126.974
