시도명,시군구 명,행정동명,내외국인 구분,비율,순위
서울특별시,용산구,이태원1동,내국인,72.89,1
서울특별시,은평구,갈현1동,내국인,56.68,2
서울특별시,송파구,방이2동,내국인,52.48,3
서울특별시,관악구,신림동,내국인,52.17,4
서울특별시,강북구,수유3동,내국인,51.32,5
서울특별시,광진구,화양동,내국인,50.67,6
서울특별시,중랑구,상봉2동,내국인,49.57,7
서울특별시,강서구,화곡6동,내국인,48.88,8
서울특별시,강서구,화곡1동,내국인,48.7,9
서울특별시,강남구,논현1동,내국인,48.59,10
서울특별시,금천구,독산4동,내국인,48.32,11
서울특별시,강동구,천호3동,내국인,47.26,12
서울특별시,광진구,구의1동,내국인,46.66,13
서울특별시,관악구,서원동,내국인,45.55,14
서울특별시,은평구,갈현2동,내국인,45.37,15
서울특별시,성동구,사근동,내국인,44.27,16
서울특별시,용산구,이태원2동,내국인,44.15,17
서울특별시,중구,신당동,내국인,44.05,18
서울특별시,성북구,동선동,내국인,43.9,19
서울특별시,서초구,서초4동,내국인,43.89,20
서울특별시,마포구,서교동,내국인,43.88,21
서울특별시,관악구,낙성대동,내국인,43.82,22
서울특별시,동작구,사당1동,내국인,43.63,23
서울특별시,은평구,응암3동,내국인,41.83,24
서울특별시,강남구,수서동,내국인,41.82,25
서울특별시,구로구,오류1동,내국인,41.69,26
서울특별시,중랑구,면목3.8동,내국인,41.36,27
서울특별시,강남구,청담동,내국인,41.2,28
서울특별시,마포구,합정동,내국인,41.12,29
서울특별시,영등포구,당산2동,내국인,41.0,30
서울특별시,마포구,도화동,내국인,40.79,31
서울특별시,동작구,사당2동,내국인,40.78,32
서울특별시,송파구,잠실본동,내국인,40.55,33
서울특별시,성동구,왕십리도선동,내국인,40.39,34
서울특별시,관악구,조원동,내국인,40.31,35
서울특별시,강동구,성내2동,내국인,40.18,36
서울특별시,양천구,목2동,내국인,39.87,37
서울특별시,은평구,역촌동,내국인,39.78,38
서울특별시,서초구,방배2동,내국인,39.6,39
서울특별시,서초구,반포본동,내국인,39.52,40
서울특별시,동작구,노량진2동,내국인,39.27,41
서울특별시,용산구,한남동,내국인,39.21,42
서울특별시,성동구,금호4가동,내국인,38.97,43
서울특별시,강동구,길동,내국인,38.86,44
서울특별시,중구,을지로동,내국인,38.78,45
서울특별시,노원구,하계2동,내국인,38.78,46
서울특별시,도봉구,창1동,내국인,38.75,47
서울특별시,성북구,장위1동,내국인,38.55,48
서울특별시,광진구,중곡1동,내국인,38.4,49
서울특별시,성북구,석관동,내국인,38.37,50
서울특별시,광진구,자양4동,내국인,38.15,51
서울특별시,송파구,거여1동,내국인,38.13,52
서울특별시,관악구,신사동,내국인,38.07,53
서울특별시,동대문구,장안1동,내국인,38.02,54
서울특별시,용산구,용산2가동,내국인,38.02,55
서울특별시,중구,신당5동,내국인,37.66,56
서울특별시,강서구,화곡본동,내국인,37.43,57
