시도명,시군구명,행정동명,내외국인 구분,전체 대비 야간관광 방문객 수 비율,순위
서울특별시,관악구,중앙동,내국인,51.32,1
서울특별시,강동구,천호3동,내국인,50.83,2
서울특별시,강서구,화곡본동,내국인,50.01,3
서울특별시,관악구,서림동,내국인,49.66,4
서울특별시,은평구,신사1동,내국인,49.35,5
서울특별시,강서구,화곡2동,내국인,48.91,6
서울특별시,동작구,상도4동,내국인,48.8,7
서울특별시,관악구,청림동,내국인,48.8,8
서울특별시,금천구,독산2동,내국인,48.52,9
서울특별시,구로구,가리봉동,내국인,48.38,10
서울특별시,강북구,삼각산동,내국인,48.28,11
서울특별시,서대문구,북가좌1동,내국인,48.16,12
서울특별시,동작구,사당4동,내국인,48.13,13
서울특별시,용산구,용문동,내국인,48.13,14
서울특별시,관악구,은천동,내국인,48.09,15
서울특별시,송파구,마천1동,내국인,48.09,16
서울특별시,강서구,화곡6동,내국인,47.84,17
서울특별시,동작구,상도3동,내국인,47.79,18
서울특별시,중랑구,면목본동,내국인,47.56,19
서울특별시,관악구,행운동,내국인,47.54,20
서울특별시,강북구,수유2동,내국인,47.43,21
서울특별시,금천구,시흥4동,내국인,47.39,22
서울특별시,관악구,청룡동,내국인,47.33,23
서울특별시,은평구,응암2동,내국인,47.21,24
서울특별시,성동구,왕십리2동,내국인,47.2,25
서울특별시,강서구,화곡8동,내국인,47.19,26
서울특별시,관악구,보라매동,내국인,47.11,27
서울특별시,서대문구,남가좌2동,내국인,47.11,28
서울특별시,서대문구,북가좌2동,내국인,46.94,29
서울특별시,성동구,행당1동,내국인,46.92,30
서울특별시,관악구,성현동,내국인,46.89,31
서울특별시,성동구,행당2동,내국인,46.78,32
서울특별시,강북구,삼양동,내국인,46.76,33
서울특별시,영등포구,신길6동,내국인,46.7,34
서울특별시,관악구,서원동,내국인,46.4,35
서울특별시,광진구,중곡2동,내국인,46.4,36
서울특별시,동작구,사당5동,내국인,46.15,37
서울특별시,관악구,신림동,내국인,46.11,38
서울특별시,은평구,신사2동,내국인,46.08,39
서울특별시,금천구,독산4동,내국인,45.93,40
서울특별시,송파구,마천2동,내국인,45.88,41
서울특별시,도봉구,창2동,내국인,45.61,42
서울특별시,성동구,왕십리도선동,내국인,45.51,43
서울특별시,광진구,화양동,내국인,45.17,44
서울특별시,관악구,인헌동,내국인,45.17,45
서울특별시,송파구,삼전동,내국인,45.09,46
서울특별시,은평구,역촌동,내국인,44.99,47
서울특별시,영등포구,신길5동,내국인,44.92,48
서울특별시,동대문구,답십리1동,내국인,44.91,49
서울특별시,관악구,남현동,내국인,44.9,50
서울특별시,동작구,사당1동,내국인,44.85,51
서울특별시,노원구,상계5동,내국인,44.8,52
서울특별시,송파구,잠실본동,내국인,44.73,53
서울특별시,강동구,길동,내국인,44.68,54
서울특별시,서대문구,남가좌1동,내국인,44.52,55
서울특별시,동작구,상도2동,내국인,44.51,56
서울특별시,동작구,사당3동,내국인,44.51,57
서울특별시,강서구,우장산동,내국인,44.34,58
서울특별시,은평구,응암1동,내국인,44.3,59
서울특별시,강북구,송천동,내국인,44.17,60
서울특별시,은평구,불광2동,내국인,44.02,61
서울특별시,송파구,장지동,내국인,44.01,62
서울특별시,관악구,신원동,내국인,43.89,63
서울특별시,송파구,위례동,내국인,43.87,64
서울특별시,도봉구,쌍문2동,내국인,43.87,65
서울특별시,도봉구,쌍문1동,내국인,43.87,66
서울특별시,은평구,증산동,내국인,43.87,67
서울특별시,동대문구,휘경1동,내국인,43.84,68
서울특별시,성북구,길음1동,내국인,43.74,69
서울특별시,성북구,돈암2동,내국인,43.72,70
서울특별시,송파구,거여1동,내국인,43.67,71
서울특별시,도봉구,쌍문3동,내국인,43.52,72
서울특별시,성북구,장위2동,내국인,43.37,73
서울특별시,양천구,신월4동,내국인,43.35,74
서울특별시,강서구,등촌1동,내국인,43.31,75
서울특별시,송파구,가락2동,내국인,43.27,76
서울특별시,관악구,낙성대동,내국인,43.22,77
서울특별시,마포구,서교동,내국인,43.17,78
서울특별시,중랑구,상봉2동,내국인,43.15,79
서울특별시,은평구,갈현1동,내국인,43.1,80
서울특별시,동작구,상도1동,내국인,43.04,81
서울특별시,성북구,장위1동,내국인,43.03,82
서울특별시,성동구,금호2.3가동,내국인,42.92,83
서울특별시,강남구,일원1동,내국인,42.9,84
서울특별시,영등포구,신길7동,내국인,42.81,85
서울특별시,강북구,수유1동,내국인,42.67,86
서울특별시,강서구,등촌2동,내국인,42.44,87
서울특별시,강동구,천호1동,내국인,42.43,88
서울특별시,광진구,자양1동,내국인,42.37,89
서울특별시,성북구,석관동,내국인,42.36,90
서울특별시,도봉구,창5동,내국인,42.35,91
서울특별시,강북구,미아동,내국인,42.32,92
서울특별시,구로구,고척2동,내국인,42.25,93
서울특별시,송파구,거여2동,내국인,42.24,94
서울특별시,중랑구,면목3.8동,내국인,41.98,95
서울특별시,마포구,연남동,내국인,41.87,96
서울특별시,양천구,목4동,내국인,41.84,97
서울특별시,강북구,수유3동,내국인,41.81,98
서울특별시,구로구,개봉3동,내국인,41.81,99
서울특별시,관악구,난곡동,내국인,41.81,100
서울특별시,송파구,석촌동,내국인,41.79,101
서울특별시,노원구,상계9동,내국인,41.5,102
서울특별시,강동구,암사1동,내국인,41.27,103
서울특별시,종로구,창신2동,내국인,41.21,104
서울특별시,성북구,동선동,내국인,41.17,105
서울특별시,중구,동화동,내국인,41.13,106
서울특별시,노원구,하계2동,내국인,41.08,107
서울특별시,강북구,번1동,내국인,41.06,108
서울특별시,영등포구,대림3동,내국인,41.0,109
서울특별시,강북구,송중동,내국인,40.89,110
서울특별시,은평구,응암3동,내국인,40.88,111
서울특별시,강서구,화곡1동,내국인,40.85,112
서울특별시,강동구,명일1동,내국인,40.85,113
서울특별시,성동구,송정동,내국인,40.48,114
서울특별시,동대문구,이문1동,내국인,40.45,115
서울특별시,관악구,난향동,내국인,40.4,116
서울특별시,서초구,반포1동,내국인,40.26,117
서울특별시,영등포구,양평1동,내국인,40.22,118
서울특별시,관악구,미성동,내국인,40.16,119
서울특별시,구로구,고척1동,내국인,39.98,120
서울특별시,송파구,문정1동,내국인,39.94,121
서울특별시,노원구,상계2동,내국인,39.89,122
서울특별시,성북구,종암동,내국인,39.88,123
서울특별시,송파구,방이2동,내국인,39.87,124
서울특별시,도봉구,방학3동,내국인,39.78,125
서울특별시,양천구,신월2동,내국인,39.77,126
서울특별시,강동구,성내2동,내국인,39.7,127
서울특별시,노원구,중계4동,내국인,39.59,128
서울특별시,성북구,길음2동,내국인,39.48,129
서울특별시,용산구,이태원1동,내국인,39.41,130
서울특별시,동대문구,답십리2동,내국인,39.4,131
서울특별시,중구,신당동,내국인,39.29,132
서울특별시,중랑구,신내1동,내국인,39.15,133
서울특별시,동대문구,전농1동,내국인,39.08,134
서울특별시,은평구,구산동,내국인,39.08,135
서울특별시,도봉구,창1동,내국인,39.05,136
서울특별시,마포구,도화동,내국인,38.99,137
서울특별시,양천구,목3동,내국인,38.99,138
서울특별시,성동구,금호1가동,내국인,38.97,139
서울특별시,광진구,군자동,내국인,38.95,140
서울특별시,중랑구,묵1동,내국인,38.95,141
