시도명,시군구명,행정동명,내외국인 구분,전체 대비 야간관광 방문객 수 비율,순위
서울특별시,강동구,천호3동,내국인,51.4,1
서울특별시,관악구,서림동,내국인,50.97,2
서울특별시,구로구,가리봉동,내국인,49.95,3
서울특별시,강서구,화곡6동,내국인,49.68,4
서울특별시,관악구,청림동,내국인,49.64,5
서울특별시,은평구,신사1동,내국인,49.55,6
서울특별시,용산구,용문동,내국인,49.03,7
서울특별시,동작구,상도4동,내국인,48.94,8
서울특별시,관악구,중앙동,내국인,48.78,9
서울특별시,관악구,성현동,내국인,48.72,10
서울특별시,송파구,마천1동,내국인,48.67,11
서울특별시,동작구,사당1동,내국인,48.62,12
서울특별시,성동구,왕십리도선동,내국인,48.47,13
서울특별시,중랑구,면목본동,내국인,48.46,14
서울특별시,송파구,삼전동,내국인,48.31,15
서울특별시,관악구,보라매동,내국인,48.27,16
서울특별시,은평구,응암2동,내국인,48.22,17
서울특별시,용산구,이태원1동,내국인,48.05,18
서울특별시,강북구,삼각산동,내국인,47.97,19
서울특별시,성동구,왕십리2동,내국인,47.84,20
서울특별시,서대문구,북가좌1동,내국인,47.75,21
서울특별시,송파구,거여2동,내국인,47.68,22
서울특별시,광진구,화양동,내국인,47.46,23
서울특별시,강서구,화곡1동,내국인,47.4,24
서울특별시,관악구,청룡동,내국인,47.37,25
서울특별시,동작구,사당4동,내국인,47.13,26
서울특별시,중랑구,상봉2동,내국인,47.11,27
서울특별시,성동구,행당2동,내국인,46.97,28
서울특별시,영등포구,신길6동,내국인,46.93,29
서울특별시,마포구,서교동,내국인,46.89,30
서울특별시,관악구,신림동,내국인,46.84,31
서울특별시,관악구,낙성대동,내국인,46.43,32
서울특별시,강서구,화곡3동,내국인,46.43,33
서울특별시,송파구,거여1동,내국인,46.43,34
서울특별시,강서구,화곡2동,내국인,46.28,35
서울특별시,관악구,서원동,내국인,46.23,36
서울특별시,영등포구,신길5동,내국인,46.2,37
서울특별시,관악구,행운동,내국인,46.19,38
서울특별시,관악구,은천동,내국인,46.04,39
서울특별시,은평구,응암1동,내국인,45.73,40
서울특별시,관악구,인헌동,내국인,45.73,41
서울특별시,강동구,명일1동,내국인,45.7,42
서울특별시,서대문구,남가좌2동,내국인,45.69,43
서울특별시,금천구,독산2동,내국인,45.67,44
서울특별시,송파구,가락2동,내국인,45.34,45
서울특별시,은평구,신사2동,내국인,45.09,46
서울특별시,성동구,행당1동,내국인,45.06,47
서울특별시,강북구,송중동,내국인,45.03,48
