시도명,시군구 명,행정동명,내외국인 구분,비율,순위
서울특별시,용산구,이태원1동,내국인,75.18,1
서울특별시,은평구,갈현1동,내국인,68.4,2
서울특별시,금천구,독산4동,내국인,65.7,3
서울특별시,광진구,화양동,내국인,64.89,4
서울특별시,송파구,방이2동,내국인,64.75,5
서울특별시,관악구,신림동,내국인,64.66,6
서울특별시,강북구,수유3동,내국인,64.14,7
서울특별시,강남구,논현1동,내국인,61.2,8
서울특별시,중랑구,상봉2동,내국인,61.14,9
서울특별시,강서구,화곡6동,내국인,60.48,10
서울특별시,강서구,화곡1동,내국인,59.8,11
서울특별시,광진구,구의1동,내국인,58.61,12
서울특별시,은평구,갈현2동,내국인,58.51,13
서울특별시,용산구,용산2가동,내국인,58.11,14
서울특별시,관악구,낙성대동,내국인,58.02,15
서울특별시,서초구,방배2동,내국인,57.73,16
서울특별시,관악구,서원동,내국인,57.49,17
서울특별시,은평구,응암3동,내국인,57.2,18
서울특별시,중랑구,면목3.8동,내국인,56.46,19
서울특별시,강동구,천호3동,내국인,56.29,20
서울특별시,관악구,조원동,내국인,55.89,21
서울특별시,동작구,사당2동,내국인,55.64,22
서울특별시,성동구,사근동,내국인,55.63,23
서울특별시,서초구,서초4동,내국인,55.36,24
서울특별시,성북구,동선동,내국인,55.16,25
서울특별시,동작구,사당1동,내국인,55.11,26
서울특별시,성동구,금호4가동,내국인,54.73,27
서울특별시,강서구,화곡4동,내국인,54.35,28
서울특별시,강남구,청담동,내국인,54.34,29
서울특별시,마포구,서교동,내국인,54.25,30
서울특별시,성동구,왕십리도선동,내국인,54.2,31
서울특별시,마포구,도화동,내국인,54.08,32
서울특별시,강동구,성내2동,내국인,53.9,33
서울특별시,구로구,오류1동,내국인,53.27,34
서울특별시,관악구,남현동,내국인,53.21,35
서울특별시,중구,신당동,내국인,53.04,36
서울특별시,광진구,중곡1동,내국인,52.93,37
서울특별시,영등포구,당산2동,내국인,52.46,38
서울특별시,광진구,자양4동,내국인,52.14,39
서울특별시,성북구,석관동,내국인,52.13,40
서울특별시,마포구,합정동,내국인,51.93,41
서울특별시,중랑구,중화2동,내국인,51.85,42
서울특별시,양천구,목2동,내국인,51.82,43
서울특별시,영등포구,대림3동,내국인,51.45,44
서울특별시,강서구,가양1동,내국인,51.29,45
서울특별시,송파구,잠실본동,내국인,51.08,46
서울특별시,도봉구,창1동,내국인,50.98,47
서울특별시,강서구,화곡3동,내국인,50.84,48
서울특별시,노원구,월계1동,내국인,50.81,49
서울특별시,강서구,화곡본동,내국인,50.73,50
서울특별시,중랑구,면목본동,내국인,50.7,51
