언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
중간체,景福宫경복궁,역사관광지,37.579617,126.977041
중간체,北村韩屋村(북촌한옥마을),역사관광지,37.582841,126.983267
중간체,青瓦台(청와대),건축/조형물,37.586216,126.974825
중간체,南山首尔塔(남산서울타워),건축/조형물,37.551169,126.988227
중간체,陈玉华奶奶元祖一只鸡(진옥화할매원조닭한마리),음식점,37.570417,127.006111
중간체,汝矣岛汉江公园여의도한강공원,휴양관광지,37.528256,126.934857
중간체,望远市场(망원시장),쇼핑,37.556272,126.908027
중간체,首尔林(서울숲),휴양관광지,37.544422,127.037412
중간체,世宗大王铜像(세종대왕 동상),건축/조형물,37.572822,126.976999
중간체,首尔大学奎章阁(서울대학교 규장각),문화시설,37.460833,126.9525
중간체,三星美术馆Leeum(삼성미술관 리움),문화시설,37.538356,126.999743
중간체,乐天世界(롯데월드),휴양관광지,37.511115,127.098163
중간체,土俗村参鸡汤(토속촌 삼계탕),음식점,37.577484,126.972235
중간체,弘大(홍대),체험관광지,37.555893,126.923611
중간체,昌德宫和后苑[联合国教科文组织世界文化遗产]창덕궁과 후원 [유네스코 세계문화유산],역사관광지,37.579434,126.991062
중간체,光化门광화문,역사관광지,37.575931,126.976843
중간체,新沙洞林荫路(신사동 가로수길),체험관광지,37.520355,127.022982
중간체,明洞(명동),체험관광지,37.560934,126.986221
중간체,国立中央博物馆(국립중앙박물관),문화시설,37.523889,126.980278
중간체,广藏市场광장시장,쇼핑,37.570125,126.999015
중간체,光化门广场(광화문광장),휴양관광지,37.575931,126.976843
중간체,安重根义士纪念馆(안중근의사기념관),문화시설,37.555627,126.978939
중간체,忠武公李舜臣铜像(충무공 이순신 동상),건축/조형물,37.570956,126.977099
중간체,HiKR Ground(好客空间) 하이커 그라운드,문화시설,37.568482,126.985953
중간체,南山公园(首尔) 남산공원(서울),휴양관광지,37.551169,126.988227
중간체,清溪川(청계천),휴양관광지,37.569179,126.977862
중간체,东大门历史文化公园(동대문역사문화공원),휴양관광지,37.565637,127.009056
중간체,新世界百货商店总店(신세계 백화점-본점),쇼핑,37.560734,126.980598
중간체,新罗免税店(首尔)신라면세점 (서울점),쇼핑,37.555833,127.005556
중간체,首尔综合运动场(蚕室综合运动场)서울종합운동장(잠실종합운동장),육상 레포츠,37.515278,127.072778
중간체,国技院(世界跆拳道本部)국기원(세계태권도본부),문화시설,37.500278,127.0325
중간체,龙山电子城(용산전자랜드),쇼핑,37.5312,126.9654
중간체,狎鸥亭罗德奥街압구정 로데오거리,체험관광지,37.527318,127.040182
중간체,国会议事堂(국회의사당),건축/조형물,37.531872,126.914207
중간체,德寿宫(덕수궁),역사관광지,37.565804,126.975159
중간체,Myth猪蹄 明洞（미쓰족발 명동）,음식점,37.562778,126.985833
중간체,守门将士换岗仪式수문장 교대의식,공연/행사,37.565985,126.974465
중간체,艺术殿堂예술의전당,문화시설,37.478648,127.011629
중간체,韩国之家한국의집,음식점,37.560662,126.994291
중간체,友情(辣炒年糕店)(우정),음식점,37.583333,126.983333
중간체,乐天免税店总店(롯데면세점본점),쇼핑,37.561474,126.982181
중간체,仁寺洞(인사동),체험관광지,37.574444,126.9875
중간체,梨泰院观光特区(이태원 관광특구),휴양관광지,37.534281,126.994119
중간체,明洞饺子(명동교자),음식점,37.563423,126.984534
중간체,乐天世界塔SEOUL SKY롯데월드타워 서울스카이,건축/조형물,37.512521,127.102575
중간체,世宗故事展示馆(세종이야기),문화시설,37.573056,126.976667
중간체,奉恩寺(首尔)봉은사(서울),역사관광지,37.514658,127.057369
중간체,南山谷韩屋村(남산골한옥마을),역사관광지,37.559133,126.993685
중간체,战争纪念馆(전쟁기념관),문화시설,37.53716,126.97712
중간체,昌庆宫(창경궁),역사관광지,37.57843,126.99598
중간체,陆军士官学校육군사관학교,문화시설,37.625,127.098056
중간체,CAPO足球用品店(CAPO Football Store)[韩国旅游品质认证/Korea Quality](카포 풋볼 스토어[한국관광 품질인증/Korea Quality]),쇼핑,37.567825,127.01026
중간체,东大门设计广场(DDP)<br />동대문디자인플라자(DDP),산업관광지,37.566827,127.009363
중간체,韩国综合贸易中心(COEX)한국종합무역센터(코엑스),문화시설,37.513333,127.059444
중간체,咸草酱蟹（함초간장게장）,음식점,37.520556,127.026111
